adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,,[],533765,en,Troll Inc.,"The avant-garde has moved online, and they have an agenda. Coming from deep within computer programming culture, Internet trolls are pissed off and using the click-bait obsessed mass media to propel their movement into the mainstream. Influencing presidential elections, manipulating journalists, inventing meme culture, trolls are either our saviors or driving our culture off of a cliff. Prosecuted as a whistle-blower by the Federal Government, Trolls Inc. follows the world's most famous Internet troll, Andrew Auernheimer, and his legion of cultural saboteurs as they take on corporate America, the media, and political-correctness.",0.6,/sSrAkLvCb2hBwI7TJBc80vxFoYJ.jpg,2018-04-09,Troll Inc.,False,0.0,0
False,,"[35, 99]",522884,en,Standing Up,"An ultra-Orthodox Jew, a couch surfing custodian, and a personal injury lawyer - risk everything to find their voices on the cutthroat New York comedy scene.",0.6,,2018-05-08,Standing Up,False,0.0,0
False,,[99],523418,en,KILLZONE 2: EPIC DEVELOPMENT,"While Killzone 2 (and 3s) servers will officially shut down at the end of March 2018; its legend as a technological achievement in console FPS games will live on forever. As a bit of a retrospect, here we dive in DEEP into the nostalgia and break down Killzone 2 from its inception.",0.6,,2018-03-16,KILLZONE 2: EPIC DEVELOPMENT,False,0.0,0
False,/mTaiFIiT1S6nO61ynpaADdxDxOJ.jpg,"[35, 14]",523427,en,Puffs: Filmed Live Off Broadway,"This is the story of the Puffs... who just happened to be there too. A tale for anyone who has never been destined to save the world. From Fathom Events, “Puffs: Filmed Live Off Broadway” comes to cinemas nationwide for two days only, May 9 and 12, including special, behind-the-curtain footage of cast and crew. This clever and inventive play “never goes more than a minute without a laugh” (Nerdist), giving you a new look at a familiar adventure from the perspective of three potential heroes just trying to make it through a magic school that proves to be very dangerous for children.",0.6,/blUFdldqZ4JXqlhITXnzJ1eEjhh.jpg,2018-05-09,Puffs: Filmed Live Off Broadway,False,0.0,0
False,/7oRga1tpG3zrbII9GAjBYZhLhPR.jpg,[27],534321,en,Sunset Society,"Welcome to the world of the Sunset Society, a secret organization in Hollywood where parties are held, musicians gather and blood flows freely! Ace (Lemmy from ""Motorhead"") is the head vampire in charge who likes to keep the fun going while keeping the profile low. However, due to a few rebels in his midst, humans are starting to catch on to his vampire ways.",2.084,/6k23CyhjRcwniYbPm34mJPwLLk6.jpg,2018-07-27,Sunset Society,False,0.0,0
False,/qKptqw5yxmMQlDzgGmB8LV7yDH7.jpg,[],534327,en,Unconditional,"Adam and Mary, father and daughter, must pick up the pieces of their new life together after they uncover that their recently deceased mother lived for years with a dual-life of sex, hard drugs, and underground clubbing",0.6,/3ySEQLYmXoGo9T5a3jK5rgACHT3.jpg,2018-02-07,Unconditional,False,0.0,0
False,/1jcvDkBnUfGMOX13vunWhaeNquX.jpg,"[10751, 10749]",534344,en,Running for Grace,"An orphan boy of mixed race finds family with the newly arrived white village doctor in Hawaii. The boy can run like the wind, and begins bringing Doc's medicine to coffee pickers throughout the mountainous region. On an errand, the medicine runner meets the daughter of the plantation owner and a forbidden, young love blossoms like the white ""Kona Snow"" of the surrounding coffee trees.",3.76,/6EM6JvWiFPSkgpHLml6yA1hy1SL.jpg,2018-08-17,Running for Grace,False,6.5,13
False,,[],523498,en,.raw,"While in the middle of a prenuptial shoot, an engaged couple struggles to project their ideal image, which leads them to re-examine their own intentions.",0.649,/kwOYIEZ90lZAVH6q4Ozbx8izAvo.jpg,2018-05-09,.raw,False,0.0,0
False,,[99],523994,en,Hesburgh,"He counseled presidents and popes, served on corporate boards and infuriated Richard Nixon.  He was one of the only friends to whom Ann Landers turned for advice.  During his 35 years as president of the University of Notre Dame, Theodore Hesburgh became one of the most influential and inspiring people of the 20th century.",2.409,/veAXBkRPvMwQe09oIGoaiy8etkN.jpg,2018-06-17,Hesburgh,False,0.0,0
False,,[],523997,en,Foster,"Oscar® winners Mark Jonathan Harris and Deborah Oppenheimer (INTO THE ARMS OF STRANGERS: STORIES OF THE KINDERTRANSPORT) roam courtrooms, foster homes, juvenile halls and the streets of Los Angeles to tell the moving human stories behind the largest county child protection agency in the United States.",0.691,/8YW2zgzJyfqtixGl43ZEm2W0LhD.jpg,2018-06-14,Foster,False,6.0,1
