id,title,overview,genres,release_date,adult,vote_count,vote_average,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,overview_len,month,day,day_of_week
556525,Bad Babysitter,arya is the kind of good babysitter that you want to go bad  after a brief affair and then messy break up with her professor  arya drops out of college  but is still obsessed  when looking for a new job  arya sees a posting by prof  driller himself looking for a babysitter  and she takes the opportunity to infiltrate his life once more  she sucks and fucks her way through the household before discovering a deep and dark secret in the basement        ,,2018-03-20,True,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454.0,3,20,Tue
556568,ALL IN,all in   matchstick productions 2018 epic ski film delivers a first of its kind experience  this concept is spearheaded by a talented group of hard charging women who wanted to disrupt the male dominated ski film formula  skiing isn t exclusionary  true fun in the mountains can be shared equally by everyone  this isn t your typical  women can shred too  film  this is a kick ass ski film that just happens to feature as many women as men ,['Documentary'],2018-10-16,False,1,10.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,440.0,10,16,Tue
556587,Selling His Soul,michael s single  has a shitty job  and an even shittier apartment  he would do anything to have a better life  one night  he meets a mysterious and gorgeous woman in red who offers to give him everything he desires and he can t say no  getting sucked and fucked more than in his wildest dreams  there s a catch though    his soul now belongs to her ,,2018-04-17,True,1,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.0,4,17,Tue
556616,Two Bois Fighting,it is a battle between good and evil  day vs night  who will reign supreme in this legendary duel ,"['Drama', 'Action', 'Thriller']",2018-06-11,False,3,7.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,98.0,6,11,Mon
565402,Country Christmas Album,after country music starlet tess stapleton s album sales keep dropping  her label forces her to record a christmas album with ex teen heartthrob and pop star  derek copeland  in an attempt to resurrect each s career  reluctantly  tess agrees  at first  they appear to be polar opposites  clashing over song styles and irritated that they were forced together  however  to their combined surprise  as the album shapes up  they find themselves growing closer over their shared love of music  as they finish the album sparks begin to fly and love blooms just in time for christmas ,"['Drama', 'Music']",2018-12-15,False,1,6.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,578.0,12,15,Sat
571984,Stalked By My Patient,a troubled patient mistakes a doctor s compassion for adoration and becomes obsessed  willing to do whatever it takes to keep her in his life ,,2018-08-01,False,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.0,8,1,Wed
572000,The Demonologist,detective damien seryph investigates a string of murders that connects to a group trying to bring forth the 4 king demons of hell  damien s past connects him to those involved and will force him to become  the demonologist  ,"['Horror', 'Thriller']",2018-12-31,False,1,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,224.0,12,31,Mon
572020,Web of Lies,whitney  a social media influencer  moves back to her hometown in boston to start a new chapter in her life  she has a blossoming career and an attractive next door neighbor  mike  but whitney s sister is suspicious of mike s erratic behavior  when someone tries to sabotage whitney s career and her sister suddenly goes missing  whitney must determine if mike is truly the man she s falling for  or if he s hiding a dark secret ,['Thriller'],2018-12-21,False,2,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,429.0,12,21,Fri
572028,The Adventures of Hector Westwood: The Cult of Evil,a lovingly crafted homage to adventure b movies of the 1930s from debut director henry rowlands  with a screenplay by author patrick davies jones,"['Adventure', 'Drama', 'Science Fiction']",2018-04-01,False,1,8.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,145.0,4,1,Sun
572069,[ UNUM ],  unum    lat  one   is presented in 9 16 format   flipped vertically   as a metaphor for the singularity of life  beginning with a carnal prologue between man and woman  the figurative journey continues with a lone huntsman at a cave  a company by his loyal dog the huntsman discovers and delivers delicate honey to a shady merchant and his nefarious cat   as a single drop of the sweet nectar releasing the furies of fate ,,2018-12-30,False,1,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424.0,12,30,Sun
