class,timestamp,org,repo,size_KB,size,pull_count,errors
COGSCI 1,2019-09-23 22:00:00,ds-modules,COGSCI-1,26153.0,145.0,14,0.0
COGSCI 1,2019-09-23 23:00:00,ds-modules,COGSCI-1,31983.0,145.0,1,0.0
COGSCI 1,2019-09-24 00:00:00,ds-modules,COGSCI-1,617.0,145.0,4,0.0
COGSCI 1,2019-09-24 01:00:00,ds-modules,COGSCI-1,980.0,145.0,2,0.0
COGSCI 1,2019-09-24 02:00:00,ds-modules,COGSCI-1,26153.0,145.0,17,0.0
COGSCI 1,2019-09-24 03:00:00,ds-modules,COGSCI-1,26153.0,145.0,22,0.0
COGSCI 1,2019-09-24 04:00:00,ds-modules,COGSCI-1,26153.0,145.0,5,0.0
COGSCI 1,2019-09-24 05:00:00,ds-modules,COGSCI-1,26153.0,145.0,4,0.0
COGSCI 1,2019-09-24 06:00:00,ds-modules,COGSCI-1,26153.0,145.0,12,0.0
COGSCI 1,2019-09-24 08:00:00,ds-modules,COGSCI-1,26153.0,145.0,2,0.0
COGSCI 1,2019-09-24 15:00:00,ds-modules,COGSCI-1,617.0,145.0,3,0.0
COGSCI 1,2019-09-24 16:00:00,ds-modules,COGSCI-1,26153.0,145.0,57,0.0
COGSCI 1,2019-09-24 17:00:00,ds-modules,COGSCI-1,617.0,145.0,6,0.0
COGSCI 1,2019-09-24 18:00:00,ds-modules,COGSCI-1,31983.0,145.0,3,0.0
COGSCI 1,2019-09-24 19:00:00,ds-modules,COGSCI-1,26153.0,145.0,8,387.5
COGSCI 1,2019-09-24 20:00:00,ds-modules,COGSCI-1,6839.0,145.0,14,0.0
COGSCI 1,2019-09-24 21:00:00,ds-modules,COGSCI-1,26153.0,145.0,11,0.0
COGSCI 1,2019-09-24 22:00:00,ds-modules,COGSCI-1,617.0,145.0,20,0.0
COGSCI 1,2019-09-24 23:00:00,ds-modules,COGSCI-1,26153.0,145.0,12,0.0
COGSCI 1,2019-09-25 00:00:00,ds-modules,COGSCI-1,617.0,145.0,16,0.0
COGSCI 1,2019-09-25 01:00:00,ds-modules,COGSCI-1,26153.0,145.0,7,0.0
COGSCI 1,2019-09-25 02:00:00,ds-modules,COGSCI-1,31983.0,145.0,6,0.0
COGSCI 1,2019-09-25 03:00:00,ds-modules,COGSCI-1,31983.0,145.0,12,0.0
COGSCI 1,2019-09-25 04:00:00,ds-modules,COGSCI-1,31983.0,145.0,13,0.0
COGSCI 1,2019-09-25 05:00:00,ds-modules,COGSCI-1,26153.0,145.0,8,0.0
COGSCI 1,2019-09-25 06:00:00,ds-modules,COGSCI-1,26153.0,145.0,8,0.0
COGSCI 1,2019-09-25 07:00:00,ds-modules,COGSCI-1,88000.0,145.0,1,465.0
COGSCI 1,2019-09-25 14:00:00,ds-modules,COGSCI-1,26153.0,145.0,2,0.0
COGSCI 1,2019-09-25 15:00:00,ds-modules,COGSCI-1,617.0,145.0,6,0.0
COGSCI 1,2019-09-25 16:00:00,ds-modules,COGSCI-1,31983.0,145.0,1,0.0
COGSCI 1,2019-09-25 17:00:00,ds-modules,COGSCI-1,26153.0,145.0,10,0.0
COGSCI 1,2019-09-25 18:00:00,ds-modules,COGSCI-1,26153.0,145.0,5,0.0
COGSCI 1,2019-09-25 19:00:00,ds-modules,COGSCI-1,26153.0,145.0,5,567.5
COGSCI 1,2019-09-25 20:00:00,ds-modules,COGSCI-1,26153.0,145.0,13,0.0
COGSCI 1,2019-09-25 21:00:00,ds-modules,COGSCI-1,617.0,145.0,6,0.0
COGSCI 1,2019-09-25 22:00:00,ds-modules,COGSCI-1,26153.0,145.0,4,0.0
COGSCI 1,2019-09-25 23:00:00,ds-modules,COGSCI-1,31983.0,145.0,2,0.0
COGSCI 1,2019-09-26 00:00:00,ds-modules,COGSCI-1,31983.0,145.0,11,0.0
COGSCI 1,2019-09-26 01:00:00,ds-modules,COGSCI-1,26153.0,145.0,7,0.0
COGSCI 1,2019-09-26 02:00:00,ds-modules,COGSCI-1,26153.0,145.0,14,0.0
COGSCI 1,2019-09-26 03:00:00,ds-modules,COGSCI-1,617.0,145.0,4,0.0
COGSCI 1,2019-09-26 04:00:00,ds-modules,COGSCI-1,31983.0,145.0,5,0.0
COGSCI 1,2019-09-26 05:00:00,ds-modules,COGSCI-1,26153.0,145.0,12,0.0
COGSCI 1,2019-09-26 06:00:00,ds-modules,COGSCI-1,26153.0,145.0,4,0.0
COGSCI 1,2019-09-26 07:00:00,ds-modules,COGSCI-1,31983.0,145.0,1,545.0
COGSCI 1,2019-09-26 08:00:00,ds-modules,COGSCI-1,617.0,145.0,1,0.0
COGSCI 1,2019-09-26 10:00:00,ds-modules,COGSCI-1,31983.0,145.0,3,0.0
COGSCI 1,2019-09-26 11:00:00,ds-modules,COGSCI-1,31983.0,145.0,1,0.0
COGSCI 1,2019-09-26 15:00:00,ds-modules,COGSCI-1,617.0,145.0,1,0.0
